Neighborhood,Town,topic,displayTopic,indicator,value,type
Parkville,Hartford,race,Race and ethnicity,Percent other race residents,0.048,map
Sheldon Charter Oak,Hartford,race,Race and ethnicity,Percent other race residents,0.136,map
South End & South Meadows,Hartford,race,Race and ethnicity,Percent other race residents,0.04,map
South Green,Hartford,race,Race and ethnicity,Percent other race residents,0.022,map
Southwest,Hartford,race,Race and ethnicity,Percent other race residents,0.055,map
Upper Albany,Hartford,race,Race and ethnicity,Percent other race residents,0.035,map
West End,Hartford,race,Race and ethnicity,Percent other race residents,0.059,map
Buena Vista,West Hartford,race,Race and ethnicity,Percent other race residents,0.119,map
Corbins Corner,West Hartford,race,Race and ethnicity,Percent other race residents,0.141,map
Elizabeth Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.043,map
Farmington East,West Hartford,race,Race and ethnicity,Percent other race residents,0.074,map
Golf Acres,West Hartford,race,Race and ethnicity,Percent other race residents,0.086,map
Kennedy Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.134,map
Mountain West,West Hartford,race,Race and ethnicity,Percent other race residents,0.071,map
New Park,West Hartford,race,Race and ethnicity,Percent other race residents,0.165,map
Rockledge,West Hartford,race,Race and ethnicity,Percent other race residents,0.055,map
West Hartford Center,West Hartford,race,Race and ethnicity,Percent other race residents,0.088,map
Hartford,,race,Race and ethnicity,Percent other race residents,0.052,table
West Hartford,,race,Race and ethnicity,Percent other race residents,0.095,table
Connecticut,,race,Race and ethnicity,Percent other race residents,0.065,table
Asylum Hill,Hartford,immigration,Immigration,Total population,9859.0,table
Barry Square,Hartford,immigration,Immigration,Total population,15485.0,table
Behind the Rocks,Hartford,immigration,Immigration,Total population,8484.0,table
Bishops Corner West,Hartford,immigration,Immigration,Total population,8010.0,table
Blue Hills,Hartford,immigration,Immigration,Total population,12067.0,table
Clay Arsenal,Hartford,immigration,Immigration,Total population,6608.0,table
Downtown,Hartford,immigration,Immigration,Total population,2001.0,table
Frog Hollow,Hartford,immigration,Immigration,Total population,9421.0,table
Northeast,Hartford,immigration,Immigration,Total population,10946.0,table
Parkville,Hartford,immigration,Immigration,Total population,4455.0,table
Sheldon Charter Oak,Hartford,immigration,Immigration,Total population,3286.0,table
South End & South Meadows,Hartford,immigration,Immigration,Total population,14590.0,table
South Green,Hartford,immigration,Immigration,Total population,2132.0,table
Southwest,Hartford,immigration,Immigration,Total population,7423.0,table
Upper Albany,Hartford,immigration,Immigration,Total population,6909.0,table
West End,Hartford,immigration,Immigration,Total population,10046.0,table
Buena Vista,West Hartford,immigration,Immigration,Total population,2698.0,table
Corbins Corner,West Hartford,immigration,Immigration,Total population,4383.0,table
Elizabeth Park,West Hartford,immigration,Immigration,Total population,4393.0,table
Farmington East,West Hartford,immigration,Immigration,Total population,10565.0,table
Golf Acres,West Hartford,immigration,Immigration,Total population,7192.0,table
Kennedy Park,West Hartford,immigration,Immigration,Total population,3990.0,table
Mountain West,West Hartford,immigration,Immigration,Total population,4452.0,table
New Park,West Hartford,immigration,Immigration,Total population,6142.0,table
Rockledge,West Hartford,immigration,Immigration,Total population,6541.0,table
West Hartford Center,West Hartford,immigration,Immigration,Total population,4922.0,table
Hartford,,immigration,Immigration,Total population,124795.0,table
West Hartford,,immigration,Immigration,Total population,63288.0,table
Connecticut,,immigration,Immigration,Total population,3593222.0,table
Asylum Hill,Hartford,immigration,Immigration,Foreign-born population,2622.0,table
Barry Square,Hartford,immigration,Immigration,Foreign-born population,3319.0,table
Behind the Rocks,Hartford,immigration,Immigration,Foreign-born population,1311.0,table
Bishops Corner West,Hartford,immigration,Immigration,Foreign-born population,1216.0,table
Blue Hills,Hartford,immigration,Immigration,Foreign-born population,3262.0,table
Clay Arsenal,Hartford,immigration,Immigration,Foreign-born population,928.0,table
Downtown,Hartford,immigration,Immigration,Foreign-born population,573.0,table
Frog Hollow,Hartford,immigration,Immigration,Foreign-born population,1631.0,table
Northeast,Hartford,immigration,Immigration,Foreign-born population,1477.0,table
Parkville,Hartford,immigration,Immigration,Foreign-born population,1368.0,table
Sheldon Charter Oak,Hartford,immigration,Immigration,Foreign-born population,698.0,table
South End & South Meadows,Hartford,immigration,Immigration,Foreign-born population,4058.0,table
South Green,Hartford,immigration,Immigration,Foreign-born population,238.0,table
Southwest,Hartford,immigration,Immigration,Foreign-born population,1558.0,table
Upper Albany,Hartford,immigration,Immigration,Foreign-born population,1929.0,table
West End,Hartford,immigration,Immigration,Foreign-born population,3073.0,table
Buena Vista,West Hartford,immigration,Immigration,Foreign-born population,498.0,table
Corbins Corner,West Hartford,immigration,Immigration,Foreign-born population,979.0,table
Elizabeth Park,West Hartford,immigration,Immigration,Foreign-born population,376.0,table
Farmington East,West Hartford,immigration,Immigration,Foreign-born population,2155.0,table
Golf Acres,West Hartford,immigration,Immigration,Foreign-born population,1034.0,table
Kennedy Park,West Hartford,immigration,Immigration,Foreign-born population,1088.0,table
Mountain West,West Hartford,immigration,Immigration,Foreign-born population,523.0,table
New Park,West Hartford,immigration,Immigration,Foreign-born population,1859.0,table
Rockledge,West Hartford,immigration,Immigration,Foreign-born population,735.0,table
West Hartford Center,West Hartford,immigration,Immigration,Foreign-born population,428.0,table
Hartford,,immigration,Immigration,Foreign-born population,28099.0,table
West Hartford,,immigration,Immigration,Foreign-born population,10891.0,table
Connecticut,,immigration,Immigration,Foreign-born population,500161.0,table
Asylum Hill,Hartford,immigration,Immigration,Percent foreign-born,0.266,map
Barry Square,Hartford,immigration,Immigration,Percent foreign-born,0.214,map
Behind the Rocks,Hartford,immigration,Immigration,Percent foreign-born,0.155,map
Bishops Corner West,Hartford,immigration,Immigration,Percent foreign-born,0.152,map
Blue Hills,Hartford,immigration,Immigration,Percent foreign-born,0.27,map
Clay Arsenal,Hartford,immigration,Immigration,Percent foreign-born,0.14,map
Downtown,Hartford,immigration,Immigration,Percent foreign-born,0.286,map
Frog Hollow,Hartford,immigration,Immigration,Percent foreign-born,0.173,map
Northeast,Hartford,immigration,Immigration,Percent foreign-born,0.135,map
Parkville,Hartford,immigration,Immigration,Percent foreign-born,0.307,map
Sheldon Charter Oak,Hartford,immigration,Immigration,Percent foreign-born,0.212,map
South End & South Meadows,Hartford,immigration,Immigration,Percent foreign-born,0.278,map
South Green,Hartford,immigration,Immigration,Percent foreign-born,0.112,map
Southwest,Hartford,immigration,Immigration,Percent foreign-born,0.21,map
Upper Albany,Hartford,immigration,Immigration,Percent foreign-born,0.279,map
West End,Hartford,immigration,Immigration,Percent foreign-born,0.306,map
Buena Vista,West Hartford,immigration,Immigration,Percent foreign-born,0.185,map
Corbins Corner,West Hartford,immigration,Immigration,Percent foreign-born,0.223,map
Elizabeth Park,West Hartford,immigration,Immigration,Percent foreign-born,0.086,map
Farmington East,West Hartford,immigration,Immigration,Percent foreign-born,0.204,map
Golf Acres,West Hartford,immigration,Immigration,Percent foreign-born,0.144,map
Kennedy Park,West Hartford,immigration,Immigration,Percent foreign-born,0.273,map
Mountain West,West Hartford,immigration,Immigration,Percent foreign-born,0.117,map
New Park,West Hartford,immigration,Immigration,Percent foreign-born,0.303,map
Rockledge,West Hartford,immigration,Immigration,Percent foreign-born,0.112,map
West Hartford Center,West Hartford,immigration,Immigration,Percent foreign-born,0.087,map
Hartford,,immigration,Immigration,Percent foreign-born,0.225,table
West Hartford,,immigration,Immigration,Percent foreign-born,0.172,table
Connecticut,,immigration,Immigration,Percent foreign-born,0.139,table
Asylum Hill,Hartford,households,Households,Total households,5262.0,table
Barry Square,Hartford,households,Households,Total households,4676.0,table
Behind the Rocks,Hartford,households,Households,Total households,2809.0,table
Bishops Corner West,Hartford,households,Households,Total households,3053.0,table
Blue Hills,Hartford,households,Households,Total households,3074.0,table
Clay Arsenal,Hartford,households,Households,Total households,2203.0,table
Downtown,Hartford,households,Households,Total households,1387.0,table
Frog Hollow,Hartford,households,Households,Total households,3411.0,table
Northeast,Hartford,households,Households,Total households,3850.0,table
Parkville,Hartford,households,Households,Total households,1633.0,table
Sheldon Charter Oak,Hartford,households,Households,Total households,1423.0,table
South End & South Meadows,Hartford,households,Households,Total households,4828.0,table
South Green,Hartford,households,Households,Total households,923.0,table
Southwest,Hartford,households,Households,Total households,2705.0,table
Upper Albany,Hartford,households,Households,Total households,2392.0,table
West End,Hartford,households,Households,Total households,4648.0,table
Buena Vista,West Hartford,households,Households,Total households,1153.0,table
Corbins Corner,West Hartford,households,Households,Total households,1701.0,table
Elizabeth Park,West Hartford,households,Households,Total households,1515.0,table
Farmington East,West Hartford,households,Households,Total households,4854.0,table
Golf Acres,West Hartford,households,Households,Total households,2341.0,table
Kennedy Park,West Hartford,households,Households,Total households,1610.0,table
Mountain West,West Hartford,households,Households,Total households,1567.0,table
New Park,West Hartford,households,Households,Total households,2530.0,table
Rockledge,West Hartford,households,Households,Total households,2587.0,table
West Hartford Center,West Hartford,households,Households,Total households,2024.0,table
Hartford,,households,Households,Total households,45239.0,table
West Hartford,,households,Households,Total households,24935.0,table
Connecticut,,households,Households,Total households,1352583.0,table
Asylum Hill,Hartford,households,Households,Owner-occupied households,608.0,map
Barry Square,Hartford,households,Households,Owner-occupied households,977.0,map
Behind the Rocks,Hartford,households,Households,Owner-occupied households,998.0,map
Bishops Corner West,Hartford,households,Households,Owner-occupied households,2525.0,map
Blue Hills,Hartford,households,Households,Owner-occupied households,1731.0,map
Clay Arsenal,Hartford,households,Households,Owner-occupied households,256.0,map
Downtown,Hartford,households,Households,Owner-occupied households,275.0,map
Frog Hollow,Hartford,households,Households,Owner-occupied households,228.0,map
Northeast,Hartford,households,Households,Owner-occupied households,769.0,map
Parkville,Hartford,households,Households,Owner-occupied households,238.0,map
Sheldon Charter Oak,Hartford,households,Households,Owner-occupied households,56.0,map
South End & South Meadows,Hartford,households,Households,Owner-occupied households,1497.0,map
South Green,Hartford,households,Households,Owner-occupied households,77.0,map
Southwest,Hartford,households,Households,Owner-occupied households,1753.0,map
Upper Albany,Hartford,households,Households,Owner-occupied households,431.0,map
West End,Hartford,households,Households,Owner-occupied households,849.0,map
Buena Vista,West Hartford,households,Households,Owner-occupied households,1078.0,map
Corbins Corner,West Hartford,households,Households,Owner-occupied households,1420.0,map
Elizabeth Park,West Hartford,households,Households,Owner-occupied households,1459.0,map
Farmington East,West Hartford,households,Households,Owner-occupied households,2240.0,map
Golf Acres,West Hartford,households,Households,Owner-occupied households,1930.0,map
Kennedy Park,West Hartford,households,Households,Owner-occupied households,771.0,map
Mountain West,West Hartford,households,Households,Owner-occupied households,1358.0,map
New Park,West Hartford,households,Households,Owner-occupied households,1356.0,map
Rockledge,West Hartford,households,Households,Owner-occupied households,2249.0,map
West Hartford Center,West Hartford,households,Households,Owner-occupied households,1567.0,map
Hartford,,households,Households,Owner-occupied households,10743.0,table
West Hartford,,households,Households,Owner-occupied households,17953.0,table
Connecticut,,households,Households,Owner-occupied households,906227.0,table
Asylum Hill,Hartford,households,Households,Homeownership rate,0.116,table
Barry Square,Hartford,households,Households,Homeownership rate,0.209,table
Behind the Rocks,Hartford,households,Households,Homeownership rate,0.355,table
Bishops Corner West,Hartford,households,Households,Homeownership rate,0.827,table
Blue Hills,Hartford,households,Households,Homeownership rate,0.563,table
Clay Arsenal,Hartford,households,Households,Homeownership rate,0.116,table
Downtown,Hartford,households,Households,Homeownership rate,0.198,table
Frog Hollow,Hartford,households,Households,Homeownership rate,0.067,table
Northeast,Hartford,households,Households,Homeownership rate,0.2,table
Parkville,Hartford,households,Households,Homeownership rate,0.146,table
Sheldon Charter Oak,Hartford,households,Households,Homeownership rate,0.039,table
South End & South Meadows,Hartford,households,Households,Homeownership rate,0.31,table
South Green,Hartford,households,Households,Homeownership rate,0.083,table
Southwest,Hartford,households,Households,Homeownership rate,0.648,table
Upper Albany,Hartford,households,Households,Homeownership rate,0.18,table
West End,Hartford,households,Households,Homeownership rate,0.183,table
Buena Vista,West Hartford,households,Households,Homeownership rate,0.935,table
Corbins Corner,West Hartford,households,Households,Homeownership rate,0.835,table
Elizabeth Park,West Hartford,households,Households,Homeownership rate,0.963,table
Farmington East,West Hartford,households,Households,Homeownership rate,0.461,table
Golf Acres,West Hartford,households,Households,Homeownership rate,0.824,table
Kennedy Park,West Hartford,households,Households,Homeownership rate,0.479,table
Mountain West,West Hartford,households,Households,Homeownership rate,0.867,table
New Park,West Hartford,households,Households,Homeownership rate,0.536,table
Rockledge,West Hartford,households,Households,Homeownership rate,0.869,table
West Hartford Center,West Hartford,households,Households,Homeownership rate,0.774,table
Hartford,,households,Households,Homeownership rate,0.237,table
West Hartford,,households,Households,Homeownership rate,0.72,table
Connecticut,,households,Households,Homeownership rate,0.67,table
Asylum Hill,Hartford,income,Income,Poverty status known,9759.0,table
Barry Square,Hartford,income,Income,Poverty status known,13375.0,table
Behind the Rocks,Hartford,income,Income,Poverty status known,8367.0,table
Bishops Corner West,Hartford,income,Income,Poverty status known,7916.0,table
Blue Hills,Hartford,income,Income,Poverty status known,9253.0,table
Clay Arsenal,Hartford,income,Income,Poverty status known,6592.0,table
Downtown,Hartford,income,Income,Poverty status known,1998.0,table
Frog Hollow,Hartford,income,Income,Poverty status known,9316.0,table
Northeast,Hartford,income,Income,Poverty status known,10946.0,table
Parkville,Hartford,income,Income,Poverty status known,4360.0,table
Sheldon Charter Oak,Hartford,income,Income,Poverty status known,3240.0,table
South End & South Meadows,Hartford,income,Income,Poverty status known,14494.0,table
South Green,Hartford,income,Income,Poverty status known,2050.0,table
Southwest,Hartford,income,Income,Poverty status known,7285.0,table
Upper Albany,Hartford,income,Income,Poverty status known,6876.0,table
West End,Hartford,income,Income,Poverty status known,9804.0,table
Buena Vista,West Hartford,income,Income,Poverty status known,2698.0,table
Corbins Corner,West Hartford,income,Income,Poverty status known,4314.0,table
Elizabeth Park,West Hartford,income,Income,Poverty status known,4393.0,table
Farmington East,West Hartford,income,Income,Poverty status known,10210.0,table
Golf Acres,West Hartford,income,Income,Poverty status known,5898.0,table
Kennedy Park,West Hartford,income,Income,Poverty status known,3985.0,table
Mountain West,West Hartford,income,Income,Poverty status known,4452.0,table
New Park,West Hartford,income,Income,Poverty status known,6119.0,table
Rockledge,West Hartford,income,Income,Poverty status known,6538.0,table
West Hartford Center,West Hartford,income,Income,Poverty status known,4912.0,table
Hartford,,income,Income,Poverty status known,117763.0,table
West Hartford,,income,Income,Poverty status known,61435.0,table
Connecticut,,income,Income,Poverty status known,3483303.0,table
Asylum Hill,Hartford,income,Income,Population in poverty,2555.0,table
Barry Square,Hartford,income,Income,Population in poverty,5577.0,table
Behind the Rocks,Hartford,income,Income,Population in poverty,2977.0,table
Bishops Corner West,Hartford,income,Income,Population in poverty,835.0,table
Blue Hills,Hartford,income,Income,Population in poverty,1590.0,table
Clay Arsenal,Hartford,income,Income,Population in poverty,2958.0,table
Downtown,Hartford,income,Income,Population in poverty,335.0,table
Frog Hollow,Hartford,income,Income,Population in poverty,4331.0,table
Northeast,Hartford,income,Income,Population in poverty,4367.0,table
Parkville,Hartford,income,Income,Population in poverty,1830.0,table
Sheldon Charter Oak,Hartford,income,Income,Population in poverty,1238.0,table
South End & South Meadows,Hartford,income,Income,Population in poverty,3979.0,table
South Green,Hartford,income,Income,Population in poverty,853.0,table
Southwest,Hartford,income,Income,Population in poverty,1314.0,table
Upper Albany,Hartford,income,Income,Population in poverty,2362.0,table
West End,Hartford,income,Income,Population in poverty,3101.0,table
Buena Vista,West Hartford,income,Income,Population in poverty,92.0,table
Corbins Corner,West Hartford,income,Income,Population in poverty,105.0,table
Elizabeth Park,West Hartford,income,Income,Population in poverty,42.0,table
Farmington East,West Hartford,income,Income,Population in poverty,1600.0,table
Golf Acres,West Hartford,income,Income,Population in poverty,149.0,table
Kennedy Park,West Hartford,income,Income,Population in poverty,243.0,table
Mountain West,West Hartford,income,Income,Population in poverty,177.0,table
New Park,West Hartford,income,Income,Population in poverty,1089.0,table
Rockledge,West Hartford,income,Income,Population in poverty,306.0,table
West Hartford Center,West Hartford,income,Income,Population in poverty,273.0,table
Hartford,,income,Income,Population in poverty,39367.0,table
West Hartford,,income,Income,Population in poverty,4911.0,table
Connecticut,,income,Income,Population in poverty,366351.0,table
Asylum Hill,Hartford,income,Income,Poverty rate,0.262,map
Barry Square,Hartford,income,Income,Poverty rate,0.417,map
Behind the Rocks,Hartford,income,Income,Poverty rate,0.356,map
Bishops Corner West,Hartford,income,Income,Poverty rate,0.105,map
Blue Hills,Hartford,income,Income,Poverty rate,0.172,map
Clay Arsenal,Hartford,income,Income,Poverty rate,0.449,map
Downtown,Hartford,income,Income,Poverty rate,0.168,map
Frog Hollow,Hartford,income,Income,Poverty rate,0.465,map
Northeast,Hartford,income,Income,Poverty rate,0.399,map
Parkville,Hartford,income,Income,Poverty rate,0.42,map
Sheldon Charter Oak,Hartford,income,Income,Poverty rate,0.382,map
South End & South Meadows,Hartford,income,Income,Poverty rate,0.275,map
South Green,Hartford,income,Income,Poverty rate,0.416,map
Southwest,Hartford,income,Income,Poverty rate,0.18,map
Upper Albany,Hartford,income,Income,Poverty rate,0.344,map
West End,Hartford,income,Income,Poverty rate,0.316,map
Buena Vista,West Hartford,income,Income,Poverty rate,0.034,map
Corbins Corner,West Hartford,income,Income,Poverty rate,0.024,map
Elizabeth Park,West Hartford,income,Income,Poverty rate,0.01,map
Farmington East,West Hartford,income,Income,Poverty rate,0.157,map
Golf Acres,West Hartford,income,Income,Poverty rate,0.025,map
Kennedy Park,West Hartford,income,Income,Poverty rate,0.061,map
Mountain West,West Hartford,income,Income,Poverty rate,0.04,map
New Park,West Hartford,income,Income,Poverty rate,0.178,map
Rockledge,West Hartford,income,Income,Poverty rate,0.047,map
West Hartford Center,West Hartford,income,Income,Poverty rate,0.056,map
Hartford,,income,Income,Poverty rate,0.334,table
West Hartford,,income,Income,Poverty rate,0.08,table
Connecticut,,income,Income,Poverty rate,0.105,table
Asylum Hill,Hartford,income,Income,Population low-income,2404.0,table
Barry Square,Hartford,income,Income,Population low-income,4259.0,table
Behind the Rocks,Hartford,income,Income,Population low-income,1953.0,table
Bishops Corner West,Hartford,income,Income,Population low-income,495.0,table
Blue Hills,Hartford,income,Income,Population low-income,2199.0,table
Clay Arsenal,Hartford,income,Income,Population low-income,2104.0,table
Downtown,Hartford,income,Income,Population low-income,149.0,table
Frog Hollow,Hartford,income,Income,Population low-income,2211.0,table
Northeast,Hartford,income,Income,Population low-income,3251.0,table
Parkville,Hartford,income,Income,Population low-income,1607.0,table
Sheldon Charter Oak,Hartford,income,Income,Population low-income,975.0,table
South End & South Meadows,Hartford,income,Income,Population low-income,3971.0,table
South Green,Hartford,income,Income,Population low-income,662.0,table
Southwest,Hartford,income,Income,Population low-income,1716.0,table
Upper Albany,Hartford,income,Income,Population low-income,2047.0,table
West End,Hartford,income,Income,Population low-income,1879.0,table
Buena Vista,West Hartford,income,Income,Population low-income,354.0,table
Corbins Corner,West Hartford,income,Income,Population low-income,490.0,table
Elizabeth Park,West Hartford,income,Income,Population low-income,249.0,table
Farmington East,West Hartford,income,Income,Population low-income,1126.0,table
Golf Acres,West Hartford,income,Income,Population low-income,441.0,table
Kennedy Park,West Hartford,income,Income,Population low-income,980.0,table
Mountain West,West Hartford,income,Income,Population low-income,140.0,table
New Park,West Hartford,income,Income,Population low-income,1092.0,table
Rockledge,West Hartford,income,Income,Population low-income,411.0,table
West Hartford Center,West Hartford,income,Income,Population low-income,244.0,table
Hartford,,income,Income,Population low-income,31387.0,table
West Hartford,,income,Income,Population low-income,6022.0,table
Connecticut,,income,Income,Population low-income,456381.0,table
Asylum Hill,Hartford,income,Income,Low-income rate,0.246,map
Barry Square,Hartford,income,Income,Low-income rate,0.318,map
Behind the Rocks,Hartford,income,Income,Low-income rate,0.233,map
Bishops Corner West,Hartford,income,Income,Low-income rate,0.063,map
Blue Hills,Hartford,income,Income,Low-income rate,0.238,map
Clay Arsenal,Hartford,income,Income,Low-income rate,0.319,map
Downtown,Hartford,income,Income,Low-income rate,0.075,map
Frog Hollow,Hartford,income,Income,Low-income rate,0.237,map
Northeast,Hartford,income,Income,Low-income rate,0.297,map
Parkville,Hartford,income,Income,Low-income rate,0.369,map
Sheldon Charter Oak,Hartford,income,Income,Low-income rate,0.301,map
South End & South Meadows,Hartford,income,Income,Low-income rate,0.274,map
South Green,Hartford,income,Income,Low-income rate,0.323,map
Southwest,Hartford,income,Income,Low-income rate,0.236,map
Upper Albany,Hartford,income,Income,Low-income rate,0.298,map
West End,Hartford,income,Income,Low-income rate,0.192,map
Buena Vista,West Hartford,income,Income,Low-income rate,0.131,map
Corbins Corner,West Hartford,income,Income,Low-income rate,0.114,map
Elizabeth Park,West Hartford,income,Income,Low-income rate,0.057,map
Farmington East,West Hartford,income,Income,Low-income rate,0.11,map
Golf Acres,West Hartford,income,Income,Low-income rate,0.075,map
Kennedy Park,West Hartford,income,Income,Low-income rate,0.246,map
Mountain West,West Hartford,income,Income,Low-income rate,0.031,map
New Park,West Hartford,income,Income,Low-income rate,0.178,map
Rockledge,West Hartford,income,Income,Low-income rate,0.063,map
West Hartford Center,West Hartford,income,Income,Low-income rate,0.05,map
Hartford,,income,Income,Low-income rate,0.267,table
West Hartford,,income,Income,Low-income rate,0.098,table
Connecticut,,income,Income,Low-income rate,0.131,table
Asylum Hill,Hartford,income,Income,Population more than 2x poverty level,4800.0,table
Barry Square,Hartford,income,Income,Population more than 2x poverty level,3539.0,table
Behind the Rocks,Hartford,income,Income,Population more than 2x poverty level,3437.0,table
Bishops Corner West,Hartford,income,Income,Population more than 2x poverty level,6586.0,table
Blue Hills,Hartford,income,Income,Population more than 2x poverty level,5464.0,table
Clay Arsenal,Hartford,income,Income,Population more than 2x poverty level,1530.0,table
Downtown,Hartford,income,Income,Population more than 2x poverty level,1514.0,table
Frog Hollow,Hartford,income,Income,Population more than 2x poverty level,2774.0,table
Northeast,Hartford,income,Income,Population more than 2x poverty level,3328.0,table
Parkville,Hartford,income,Income,Population more than 2x poverty level,923.0,table
Sheldon Charter Oak,Hartford,income,Income,Population more than 2x poverty level,1027.0,table
South End & South Meadows,Hartford,income,Income,Population more than 2x poverty level,6544.0,table
South Green,Hartford,income,Income,Population more than 2x poverty level,535.0,table
Southwest,Hartford,income,Income,Population more than 2x poverty level,4255.0,table
Upper Albany,Hartford,income,Income,Population more than 2x poverty level,2467.0,table
West End,Hartford,income,Income,Population more than 2x poverty level,4824.0,table
Buena Vista,West Hartford,income,Income,Population more than 2x poverty level,2252.0,table
Corbins Corner,West Hartford,income,Income,Population more than 2x poverty level,3719.0,table
Elizabeth Park,West Hartford,income,Income,Population more than 2x poverty level,4102.0,table
Farmington East,West Hartford,income,Income,Population more than 2x poverty level,7484.0,table
Golf Acres,West Hartford,income,Income,Population more than 2x poverty level,5308.0,table
Kennedy Park,West Hartford,income,Income,Population more than 2x poverty level,2762.0,table
Mountain West,West Hartford,income,Income,Population more than 2x poverty level,4135.0,table
New Park,West Hartford,income,Income,Population more than 2x poverty level,3938.0,table
Rockledge,West Hartford,income,Income,Population more than 2x poverty level,5821.0,table
West Hartford Center,West Hartford,income,Income,Population more than 2x poverty level,4395.0,table
Hartford,,income,Income,Population more than 2x poverty level,47009.0,table
West Hartford,,income,Income,Population more than 2x poverty level,50502.0,table
Connecticut,,income,Income,Population more than 2x poverty level,2660571.0,table
Asylum Hill,Hartford,income,Income,More than 2x poverty level rate,0.492,map
Barry Square,Hartford,income,Income,More than 2x poverty level rate,0.265,map
Behind the Rocks,Hartford,income,Income,More than 2x poverty level rate,0.411,map
Bishops Corner West,Hartford,income,Income,More than 2x poverty level rate,0.832,map
Blue Hills,Hartford,income,Income,More than 2x poverty level rate,0.591,map
Clay Arsenal,Hartford,income,Income,More than 2x poverty level rate,0.232,map
Downtown,Hartford,income,Income,More than 2x poverty level rate,0.758,map
Frog Hollow,Hartford,income,Income,More than 2x poverty level rate,0.298,map
Northeast,Hartford,income,Income,More than 2x poverty level rate,0.304,map
Parkville,Hartford,income,Income,More than 2x poverty level rate,0.212,map
Sheldon Charter Oak,Hartford,income,Income,More than 2x poverty level rate,0.317,map
