Neighborhood,Town,topic,displayTopic,indicator,value,type
South End & South Meadows,Hartford,income,Income,More than 2x poverty level rate,0.451,map
South Green,Hartford,income,Income,More than 2x poverty level rate,0.261,map
Southwest,Hartford,income,Income,More than 2x poverty level rate,0.584,map
Upper Albany,Hartford,income,Income,More than 2x poverty level rate,0.359,map
West End,Hartford,income,Income,More than 2x poverty level rate,0.492,map
Buena Vista,West Hartford,income,Income,More than 2x poverty level rate,0.835,map
Corbins Corner,West Hartford,income,Income,More than 2x poverty level rate,0.862,map
Elizabeth Park,West Hartford,income,Income,More than 2x poverty level rate,0.934,map
Farmington East,West Hartford,income,Income,More than 2x poverty level rate,0.733,map
Golf Acres,West Hartford,income,Income,More than 2x poverty level rate,0.9,map
Kennedy Park,West Hartford,income,Income,More than 2x poverty level rate,0.693,map
Mountain West,West Hartford,income,Income,More than 2x poverty level rate,0.929,map
New Park,West Hartford,income,Income,More than 2x poverty level rate,0.644,map
Rockledge,West Hartford,income,Income,More than 2x poverty level rate,0.89,map
West Hartford Center,West Hartford,income,Income,More than 2x poverty level rate,0.895,map
Hartford,,income,Income,More than 2x poverty level rate,0.399,table
West Hartford,,income,Income,More than 2x poverty level rate,0.822,table
Connecticut,,income,Income,More than 2x poverty level rate,0.764,table
Asylum Hill,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1757.0,table
Barry Square,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",3924.0,table
Behind the Rocks,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",2385.0,table
Bishops Corner West,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1967.0,table
Blue Hills,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",2438.0,table
Clay Arsenal,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",2341.0,table
Downtown,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",36.0,table
Frog Hollow,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",2800.0,table
Northeast,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",3399.0,table
Parkville,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1133.0,table
Sheldon Charter Oak,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",751.0,table
South End & South Meadows,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",4030.0,table
South Green,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",488.0,table
Southwest,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1696.0,table
Upper Albany,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",2068.0,table
West End,Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1395.0,table
Buena Vista,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",569.0,table
Corbins Corner,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",856.0,table
Elizabeth Park,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1180.0,table
Farmington East,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1879.0,table
Golf Acres,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1405.0,table
Kennedy Park,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",852.0,table
Mountain West,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1255.0,table
New Park,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1109.0,table
Rockledge,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1671.0,table
West Hartford Center,West Hartford,income_kids,Income by age: children,"Ages 0-17, poverty status known",1269.0,table
Hartford,,income_kids,Income by age: children,"Ages 0-17, poverty status known",30654.0,table
West Hartford,,income_kids,Income by age: children,"Ages 0-17, poverty status known",14012.0,table
Connecticut,,income_kids,Income by age: children,"Ages 0-17, poverty status known",774939.0,table
Asylum Hill,Hartford,income_kids,Income by age: children,Children in poverty,706.0,table
Barry Square,Hartford,income_kids,Income by age: children,Children in poverty,2012.0,table
Behind the Rocks,Hartford,income_kids,Income by age: children,Children in poverty,1388.0,table
Bishops Corner West,Hartford,income_kids,Income by age: children,Children in poverty,312.0,table
Blue Hills,Hartford,income_kids,Income by age: children,Children in poverty,639.0,table
Clay Arsenal,Hartford,income_kids,Income by age: children,Children in poverty,1214.0,table
Downtown,Hartford,income_kids,Income by age: children,Children in poverty,0.0,table
Frog Hollow,Hartford,income_kids,Income by age: children,Children in poverty,1503.0,table
Northeast,Hartford,income_kids,Income by age: children,Children in poverty,1752.0,table
Parkville,Hartford,income_kids,Income by age: children,Children in poverty,540.0,table
Sheldon Charter Oak,Hartford,income_kids,Income by age: children,Children in poverty,267.0,table
South End & South Meadows,Hartford,income_kids,Income by age: children,Children in poverty,1428.0,table
South Green,Hartford,income_kids,Income by age: children,Children in poverty,228.0,table
Southwest,Hartford,income_kids,Income by age: children,Children in poverty,483.0,table
Upper Albany,Hartford,income_kids,Income by age: children,Children in poverty,1072.0,table
West End,Hartford,income_kids,Income by age: children,Children in poverty,501.0,table
Buena Vista,West Hartford,income_kids,Income by age: children,Children in poverty,12.0,table
Corbins Corner,West Hartford,income_kids,Income by age: children,Children in poverty,0.0,table
Elizabeth Park,West Hartford,income_kids,Income by age: children,Children in poverty,0.0,table
Farmington East,West Hartford,income_kids,Income by age: children,Children in poverty,516.0,table
Golf Acres,West Hartford,income_kids,Income by age: children,Children in poverty,18.0,table
Kennedy Park,West Hartford,income_kids,Income by age: children,Children in poverty,56.0,table
Mountain West,West Hartford,income_kids,Income by age: children,Children in poverty,14.0,table
New Park,West Hartford,income_kids,Income by age: children,Children in poverty,326.0,table
Rockledge,West Hartford,income_kids,Income by age: children,Children in poverty,55.0,table
West Hartford Center,West Hartford,income_kids,Income by age: children,Children in poverty,81.0,table
Hartford,,income_kids,Income by age: children,Children in poverty,13733.0,table
West Hartford,,income_kids,Income by age: children,Children in poverty,1390.0,table
Connecticut,,income_kids,Income by age: children,Children in poverty,110916.0,table
Asylum Hill,Hartford,income_kids,Income by age: children,Child poverty rate,0.402,map
Barry Square,Hartford,income_kids,Income by age: children,Child poverty rate,0.513,map
Behind the Rocks,Hartford,income_kids,Income by age: children,Child poverty rate,0.582,map
Bishops Corner West,Hartford,income_kids,Income by age: children,Child poverty rate,0.159,map
Blue Hills,Hartford,income_kids,Income by age: children,Child poverty rate,0.262,map
Clay Arsenal,Hartford,income_kids,Income by age: children,Child poverty rate,0.519,map
Downtown,Hartford,income_kids,Income by age: children,Child poverty rate,0.0,map
Frog Hollow,Hartford,income_kids,Income by age: children,Child poverty rate,0.537,map
Northeast,Hartford,income_kids,Income by age: children,Child poverty rate,0.515,map
Parkville,Hartford,income_kids,Income by age: children,Child poverty rate,0.477,map
Sheldon Charter Oak,Hartford,income_kids,Income by age: children,Child poverty rate,0.356,map
South End & South Meadows,Hartford,income_kids,Income by age: children,Child poverty rate,0.354,map
South Green,Hartford,income_kids,Income by age: children,Child poverty rate,0.467,map
Southwest,Hartford,income_kids,Income by age: children,Child poverty rate,0.285,map
Upper Albany,Hartford,income_kids,Income by age: children,Child poverty rate,0.518,map
West End,Hartford,income_kids,Income by age: children,Child poverty rate,0.359,map
Buena Vista,West Hartford,income_kids,Income by age: children,Child poverty rate,0.021,map
Corbins Corner,West Hartford,income_kids,Income by age: children,Child poverty rate,0.0,map
Elizabeth Park,West Hartford,income_kids,Income by age: children,Child poverty rate,0.0,map
Farmington East,West Hartford,income_kids,Income by age: children,Child poverty rate,0.275,map
Golf Acres,West Hartford,income_kids,Income by age: children,Child poverty rate,0.013,map
Kennedy Park,West Hartford,income_kids,Income by age: children,Child poverty rate,0.066,map
Mountain West,West Hartford,income_kids,Income by age: children,Child poverty rate,0.011,map
New Park,West Hartford,income_kids,Income by age: children,Child poverty rate,0.294,map
Rockledge,West Hartford,income_kids,Income by age: children,Child poverty rate,0.033,map
West Hartford Center,West Hartford,income_kids,Income by age: children,Child poverty rate,0.064,map
Hartford,,income_kids,Income by age: children,Child poverty rate,0.448,table
West Hartford,,income_kids,Income by age: children,Child poverty rate,0.099,table
Connecticut,,income_kids,Income by age: children,Child poverty rate,0.143,table
Asylum Hill,Hartford,income_kids,Income by age: children,Low-income children,1236.0,table
Barry Square,Hartford,income_kids,Income by age: children,Low-income children,3387.0,table
Behind the Rocks,Hartford,income_kids,Income by age: children,Low-income children,1848.0,table
Bishops Corner West,Hartford,income_kids,Income by age: children,Low-income children,424.0,table
Blue Hills,Hartford,income_kids,Income by age: children,Low-income children,1372.0,table
Clay Arsenal,Hartford,income_kids,Income by age: children,Low-income children,2058.0,table
Downtown,Hartford,income_kids,Income by age: children,Low-income children,0.0,table
Frog Hollow,Hartford,income_kids,Income by age: children,Low-income children,2241.0,table
Northeast,Hartford,income_kids,Income by age: children,Low-income children,2864.0,table
Parkville,Hartford,income_kids,Income by age: children,Low-income children,1e3,table
Sheldon Charter Oak,Hartford,income_kids,Income by age: children,Low-income children,652.0,table
South End & South Meadows,Hartford,income_kids,Income by age: children,Low-income children,2758.0,table
South Green,Hartford,income_kids,Income by age: children,Low-income children,443.0,table
Southwest,Hartford,income_kids,Income by age: children,Low-income children,969.0,table
Upper Albany,Hartford,income_kids,Income by age: children,Low-income children,1701.0,table
West End,Hartford,income_kids,Income by age: children,Low-income children,849.0,table
Buena Vista,West Hartford,income_kids,Income by age: children,Low-income children,175.0,table
Corbins Corner,West Hartford,income_kids,Income by age: children,Low-income children,119.0,table
Elizabeth Park,West Hartford,income_kids,Income by age: children,Low-income children,36.0,table
Farmington East,West Hartford,income_kids,Income by age: children,Low-income children,763.0,table
Golf Acres,West Hartford,income_kids,Income by age: children,Low-income children,130.0,table
Kennedy Park,West Hartford,income_kids,Income by age: children,Low-income children,339.0,table
Mountain West,West Hartford,income_kids,Income by age: children,Low-income children,46.0,table
New Park,West Hartford,income_kids,Income by age: children,Low-income children,534.0,table
Rockledge,West Hartford,income_kids,Income by age: children,Low-income children,175.0,table
West Hartford Center,West Hartford,income_kids,Income by age: children,Low-income children,95.0,table
Hartford,,income_kids,Income by age: children,Low-income children,23378.0,table
West Hartford,,income_kids,Income by age: children,Low-income children,2836.0,table
Connecticut,,income_kids,Income by age: children,Low-income children,232822.0,table
Asylum Hill,Hartford,income_kids,Income by age: children,Child low-income rate,0.703,map
Barry Square,Hartford,income_kids,Income by age: children,Child low-income rate,0.863,map
Behind the Rocks,Hartford,income_kids,Income by age: children,Child low-income rate,0.775,map
Bishops Corner West,Hartford,income_kids,Income by age: children,Child low-income rate,0.216,map
Blue Hills,Hartford,income_kids,Income by age: children,Child low-income rate,0.563,map
Clay Arsenal,Hartford,income_kids,Income by age: children,Child low-income rate,0.879,map
Downtown,Hartford,income_kids,Income by age: children,Child low-income rate,0.0,map
Frog Hollow,Hartford,income_kids,Income by age: children,Child low-income rate,0.8,map
Northeast,Hartford,income_kids,Income by age: children,Child low-income rate,0.843,map
Parkville,Hartford,income_kids,Income by age: children,Child low-income rate,0.883,map
Sheldon Charter Oak,Hartford,income_kids,Income by age: children,Child low-income rate,0.868,map
South End & South Meadows,Hartford,income_kids,Income by age: children,Child low-income rate,0.684,map
South Green,Hartford,income_kids,Income by age: children,Child low-income rate,0.908,map
Southwest,Hartford,income_kids,Income by age: children,Child low-income rate,0.571,map
Upper Albany,Hartford,income_kids,Income by age: children,Child low-income rate,0.823,map
West End,Hartford,income_kids,Income by age: children,Child low-income rate,0.609,map
Buena Vista,West Hartford,income_kids,Income by age: children,Child low-income rate,0.308,map
Corbins Corner,West Hartford,income_kids,Income by age: children,Child low-income rate,0.139,map
Elizabeth Park,West Hartford,income_kids,Income by age: children,Child low-income rate,0.031,map
Farmington East,West Hartford,income_kids,Income by age: children,Child low-income rate,0.406,map
Golf Acres,West Hartford,income_kids,Income by age: children,Child low-income rate,0.093,map
Kennedy Park,West Hartford,income_kids,Income by age: children,Child low-income rate,0.398,map
Mountain West,West Hartford,income_kids,Income by age: children,Child low-income rate,0.037,map
New Park,West Hartford,income_kids,Income by age: children,Child low-income rate,0.482,map
Rockledge,West Hartford,income_kids,Income by age: children,Child low-income rate,0.105,map
West Hartford Center,West Hartford,income_kids,Income by age: children,Child low-income rate,0.075,map
Hartford,,income_kids,Income by age: children,Child low-income rate,0.763,table
West Hartford,,income_kids,Income by age: children,Child low-income rate,0.202,table
Connecticut,,income_kids,Income by age: children,Child low-income rate,0.3,table
Asylum Hill,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",956.0,table
Barry Square,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1096.0,table
Behind the Rocks,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",626.0,table
Bishops Corner West,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1699.0,table
Blue Hills,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1339.0,table
Clay Arsenal,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",475.0,table
Downtown,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",225.0,table
Frog Hollow,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",659.0,table
Northeast,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1154.0,table
Parkville,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",426.0,table
Sheldon Charter Oak,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",446.0,table
South End & South Meadows,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1065.0,table
South Green,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",256.0,table
Southwest,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",864.0,table
Upper Albany,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",798.0,table
West End,Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1158.0,table
Buena Vista,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",609.0,table
Corbins Corner,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",843.0,table
Elizabeth Park,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",719.0,table
Farmington East,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1838.0,table
Golf Acres,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1283.0,table
Kennedy Park,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",380.0,table
Mountain West,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",758.0,table
New Park,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",640.0,table
Rockledge,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",956.0,table
West Hartford Center,West Hartford,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",646.0,table
Hartford,,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",11543.0,table
West Hartford,,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",10371.0,table
Connecticut,,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",520371.0,table
Asylum Hill,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,218.0,table
Barry Square,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,322.0,table
Behind the Rocks,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,130.0,table
Bishops Corner West,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,174.0,table
Blue Hills,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,158.0,table
Clay Arsenal,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,174.0,table
Downtown,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,1.0,table
Frog Hollow,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,295.0,table
Northeast,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,337.0,table
Parkville,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,183.0,table
Sheldon Charter Oak,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,210.0,table
South End & South Meadows,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,198.0,table
South Green,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,149.0,table
Southwest,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,70.0,table
Upper Albany,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,269.0,table
West End,Hartford,income_seniors,Income by age: seniors,Seniors in poverty,387.0,table
Buena Vista,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,41.0,table
Corbins Corner,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,77.0,table
Elizabeth Park,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,27.0,table
Farmington East,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,245.0,table
Golf Acres,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,69.0,table
Kennedy Park,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,38.0,table
Mountain West,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,16.0,table
New Park,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,66.0,table
Rockledge,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,61.0,table
West Hartford Center,West Hartford,income_seniors,Income by age: seniors,Seniors in poverty,27.0,table
Hartford,,income_seniors,Income by age: seniors,Seniors in poverty,3101.0,table
West Hartford,,income_seniors,Income by age: seniors,Seniors in poverty,841.0,table
Connecticut,,income_seniors,Income by age: seniors,Seniors in poverty,37164.0,table
Asylum Hill,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.228,map
Barry Square,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.294,map
Behind the Rocks,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.208,map
Bishops Corner West,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.102,map
Blue Hills,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.118,map
Clay Arsenal,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.366,map
Downtown,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.004,map
Frog Hollow,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.448,map
Northeast,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.292,map
Parkville,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.43,map
Sheldon Charter Oak,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.471,map
South End & South Meadows,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.186,map
South Green,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.582,map
Southwest,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.081,map
Upper Albany,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.337,map
West End,Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.334,map
Buena Vista,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.067,map
Corbins Corner,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.091,map
Elizabeth Park,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.038,map
Farmington East,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.133,map
Golf Acres,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.054,map
Kennedy Park,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.1,map
Mountain West,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.021,map
New Park,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.103,map
Rockledge,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.064,map
West Hartford Center,West Hartford,income_seniors,Income by age: seniors,Senior poverty rate,0.042,map
Hartford,,income_seniors,Income by age: seniors,Senior poverty rate,0.269,table
West Hartford,,income_seniors,Income by age: seniors,Senior poverty rate,0.081,table
Connecticut,,income_seniors,Income by age: seniors,Senior poverty rate,0.071,table
Asylum Hill,Hartford,income_seniors,Income by age: seniors,Low-income seniors,570.0,table
Barry Square,Hartford,income_seniors,Income by age: seniors,Low-income seniors,684.0,table
Behind the Rocks,Hartford,income_seniors,Income by age: seniors,Low-income seniors,251.0,table
Bishops Corner West,Hartford,income_seniors,Income by age: seniors,Low-income seniors,419.0,table
Blue Hills,Hartford,income_seniors,Income by age: seniors,Low-income seniors,461.0,table
Clay Arsenal,Hartford,income_seniors,Income by age: seniors,Low-income seniors,344.0,table
Downtown,Hartford,income_seniors,Income by age: seniors,Low-income seniors,59.0,table
Frog Hollow,Hartford,income_seniors,Income by age: seniors,Low-income seniors,538.0,table
Northeast,Hartford,income_seniors,Income by age: seniors,Low-income seniors,732.0,table
Parkville,Hartford,income_seniors,Income by age: seniors,Low-income seniors,358.0,table
Sheldon Charter Oak,Hartford,income_seniors,Income by age: seniors,Low-income seniors,335.0,table
South End & South Meadows,Hartford,income_seniors,Income by age: seniors,Low-income seniors,459.0,table
South Green,Hartford,income_seniors,Income by age: seniors,Low-income seniors,231.0,table
Southwest,Hartford,income_seniors,Income by age: seniors,Low-income seniors,372.0,table
Upper Albany,Hartford,income_seniors,Income by age: seniors,Low-income seniors,519.0,table
West End,Hartford,income_seniors,Income by age: seniors,Low-income seniors,620.0,table
Buena Vista,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,100.0,table
Corbins Corner,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,226.0,table
Elizabeth Park,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,93.0,table
Farmington East,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,600.0,table
Golf Acres,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,218.0,table
Kennedy Park,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,121.0,table
Mountain West,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,54.0,table
New Park,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,192.0,table
Rockledge,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,170.0,table
West Hartford Center,West Hartford,income_seniors,Income by age: seniors,Low-income seniors,123.0,table
Hartford,,income_seniors,Income by age: seniors,Low-income seniors,6533.0,table
West Hartford,,income_seniors,Income by age: seniors,Low-income seniors,2316.0,table
Connecticut,,income_seniors,Income by age: seniors,Low-income seniors,123911.0,table
Asylum Hill,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.596,map
Barry Square,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.624,map
Behind the Rocks,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.401,map
Bishops Corner West,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.247,map
Blue Hills,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.344,map
Clay Arsenal,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.724,map
Downtown,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.262,map
Frog Hollow,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.816,map
Northeast,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.634,map
Parkville,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.84,map
Sheldon Charter Oak,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.751,map
South End & South Meadows,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.431,map
South Green,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.902,map
Southwest,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.431,map
Upper Albany,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.65,map
West End,Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.535,map
Buena Vista,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.164,map
Corbins Corner,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.268,map
Elizabeth Park,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.129,map
Farmington East,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.326,map
Golf Acres,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.17,map
Kennedy Park,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.318,map
Mountain West,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.071,map
New Park,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.3,map
Rockledge,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.178,map
West Hartford Center,West Hartford,income_seniors,Income by age: seniors,Senior low-income rate,0.19,map
Hartford,,income_seniors,Income by age: seniors,Senior low-income rate,0.566,table
West Hartford,,income_seniors,Income by age: seniors,Senior low-income rate,0.223,table
Connecticut,,income_seniors,Income by age: seniors,Senior low-income rate,0.238,table
